name,description_text,image_url,size,type,habitat,challenge_rating,armor_class,hit_points,speed,abilities,skills,senses,special_abilities,actions,behavior,diet,domesticable,rideable,exp_value,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id,token_url
Thorzak Forge-Écaille,"Lézard de lave aux écailles de métal chauffées à blanc. Créature symbiotique des forges naines, capable de chauffer le métal par sa seule présence et de détecter les impuretés.",,Petit,Reptile,"Forges, volcans, tunnels magmatiques, salles de forge naines",0.25,16,14,"9m, escalade 9m",,,"Vision dans le noir 18m, Perception passive 10",,,"Docile et utilitaire, le Thorzak est considéré comme porte-bonheur par les forgerons nains. Il se nourrit de charbon et de minerai, et dort dans les braises des forges. Peut aider à maintenir une température constante.",Omnivore,TRUE,FALSE,50,68e22c50236eaaf8856d8354,2025-10-05T08:29:04.309000,2025-10-05T08:29:04.309000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Vaerenth Planant,Raie céleste aux nageoires translucides qui nage dans les airs comme dans l'eau. Ses écailles réfractent la lumière en arcs-en-ciel. Messager des dieux du vent selon les légendes elfiques.,,Grand,Créature aquatique,"Hautes montagnes, sommets de tours, nuages, plans élémentaires de l'Air",3,14,52,Vol 18m (vol stationnaire),,,"Vision aveugle 18m, Perception passive 15",,,"Majestueux et paisible, le Vaerenth glisse silencieusement dans les airs. Les marins du ciel considèrent sa rencontre comme un bon présage. Curieux mais timide avec les étrangers.",Carnivore,TRUE,TRUE,700,68e22c50236eaaf8856d8355,2025-10-05T08:29:04.309000,2025-10-05T08:29:04.309000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Morglath Crachefeu,Crapaud des marais volcaniques couvert de verrues incandescentes. Crache de la lave en fusion pour se défendre. Familier prisé des chamans orcs et gobelins.,,Très petit,Amphibien,"Marécages volcaniques, geysers, sources chaudes, camps orcs",0.125,11,7,"6m, nage 6m",,,"Vision dans le noir 9m, Perception passive 9",,,Agressif malgré sa petite taille. Territorial et prompt à cracher de la lave sur les intrus. Les orcs les élèvent comme gardiens et amusement. Se nourrit d'insectes carbonisés.,Carnivore,TRUE,FALSE,25,68e22c50236eaaf8856d8356,2025-10-05T08:29:04.309000,2025-10-05T08:29:04.309000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Lunaeth Argenté,"Majestueux félin spectral à la fourrure argentée qui brille sous la lune. Gardien des sanctuaires lunaires, il peut devenir intangible et marcher entre les ombres.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/e43d41d8d_LunaethArgent.png,Moyen,Mammifère,"Sanctuaires lunaires, forêts nocturnes, plans de l'ombre",2,15,38,"15m, escalade 12m",,,"Vision dans le noir 36m, Perception passive 15",,,"Noble et mystérieux, le Lunaeth est gardien des lieux sacrés de la lune. Loyal envers ceux qui respectent la nuit et les mystères lunaires. Chasseur nocturne silencieux et efficace.",Carnivore,TRUE,FALSE,450,68e22c50236eaaf8856d8357,2025-10-05T08:29:04.309000,2025-11-14T14:42:34.989000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Rhinocéros Noir,"Herbivore massif au tempérament irascible, armé d'une ou deux cornes frontales. Malgré sa taille, capable de charger à grande vitesse.",,Très grand,Mammifère,"Savanes africaines, prairies arbustives",6,15,102,15m,,,Perception passive 13,,,Extrêmement territorial et agressif. Vue faible mais charge à la moindre perturbation. Peut atteindre 50 km/h malgré son poids.,Herbivore,FALSE,FALSE,2300,68e22b584112994818c448ae,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cobra Royal,"Le plus long serpent venimeux du monde, pouvant atteindre 5 mètres. Capable de se dresser pour faire face à un homme et de projeter son venin.",,Moyen,Reptile,Forêts tropicales d'Asie du Sud-Est,2,14,32,"9m, nage 6m, escalade 6m",,,"Vision aveugle 3m, Perception passive 12",,,Intelligent et territorial. Préfère fuir mais se défend férocement si acculé. Seul serpent à construire un nid pour ses œufs.,Carnivore,FALSE,FALSE,450,68e22b584112994818c448af,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Colibri à Gorge Rubis,"Le plus petit oiseau migrateur, capable de battre des ailes jusqu'à 80 fois par seconde. Ses couleurs iridescentes brillent au soleil.",,Très petit,Oiseau,"Forêts, jardins, prairies fleuries",0,14,1,"1,50m au sol, 18m en vol",,,Perception passive 13,,,"Extrêmement territorial malgré sa taille. Agile et rapide, défend agressivement ses sources de nectar. Migration incroyable à travers le golfe du Mexique.",Omnivore,FALSE,FALSE,10,68e22b584112994818c448b0,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Mouffette Rayée,Petit mammifère noir et blanc connu pour son spray défensif malodorant capable de repousser même les plus grands prédateurs.,,Petit,Mammifère,"Forêts, prairies, zones urbaines d'Amérique du Nord",0.125,10,5,9m,,,"Vision dans le noir 18m, Perception passive 13",,,Nocturne et solitaire. Préfère éviter les conflits mais son spray est redoutablement efficace. Même les ours l'évitent.,Omnivore,FALSE,FALSE,25,68e22b584112994818c448b1,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Faucon Pèlerin,"L'animal le plus rapide du monde, capable d'atteindre plus de 300 km/h en piqué. Chasseur aérien sans égal.",,Petit,Oiseau,"Falaises, montagnes, villes (gratte-ciels)",0.25,13,7,"3m au sol, 27m en vol",,,Perception passive 16,,,Chasseur solitaire et territorial. Frappe ses proies en vol avec une précision mortelle. S'est adapté aux environnements urbains.,Carnivore,TRUE,FALSE,50,68e22b584112994818c448b2,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Méduse-Boîte,L'une des créatures les plus venimeuses au monde. Ses tentacules transparents peuvent mesurer plusieurs mètres et contiennent un venin mortel.,,Moyen,Créature aquatique,Eaux côtières tropicales du Pacifique,2,9,22,Nage 12m,,,"Vision aveugle 18m, Perception passive 10",,,Dérive passivement avec les courants. Ses tentacules longs et transparents sont un danger mortel pour les nageurs imprudents.,Carnivore,FALSE,FALSE,450,68e22b584112994818c448b3,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Porc-Épic,"Rongeur couvert de milliers de piquants acérés. Grimpeur excellent malgré son apparence encombrante, se défend en dressant ses piquants.",,Petit,Mammifère,"Forêts, zones boisées",0.25,13,11,"9m, escalade 6m",,,Perception passive 11,,,"Nocturne et solitaire. Excellent grimpeur, passe beaucoup de temps dans les arbres. Herbivore pacifique mais bien défendu.",Herbivore,FALSE,FALSE,50,68e22b584112994818c448b4,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Anaconda Vert,"Le serpent le plus lourd du monde, constricteur aquatique massif capable d'avaler des proies aussi grandes qu'un cerf.",,Très grand,Reptile,"Marécages, rivières et forêts inondées d'Amazonie",5,12,85,"9m, nage 12m",,,"Vision aveugle 3m, Perception passive 10",,,"Chasseur patient à l'affût dans l'eau. Attaque par surprise, enroule sa proie et l'étouffe lentement. Peut avaler des proies entières.",Carnivore,FALSE,FALSE,1800,68e22b584112994818c448b5,2025-10-05T08:24:56.252000,2025-10-05T08:24:56.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Hippopotame,"Malgré son apparence massive et paisible, l'hippopotame est l'un des animaux les plus dangereux d'Afrique. Extrêmement territorial et agressif.",,Très grand,Mammifère,"Rivières, lacs et marécages d'Afrique",5,14,95,"12m, nage 9m",,,Perception passive 10,,,"Extrêmement territorial et agressif, surtout avec des petits. Responsable de plus de morts humaines en Afrique que les prédateurs.",Herbivore,FALSE,FALSE,1800,68e22af1f0b0a5a83d564cb1,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Renard Roux,"Canidé rusé et adaptable, connu pour son intelligence et sa fourrure rousse flamboyante. Chasseur opportuniste et solitaire.",,Petit,Mammifère,"Forêts, prairies, zones urbaines",0.25,13,7,12m,,,"Vision dans le noir 18m, Perception passive 13",,,"Rusé et adaptable, chasse surtout la nuit. Capable de s'adapter aux environnements urbains. Solitaire sauf en période de reproduction.",Omnivore,TRUE,FALSE,50,68e22af1f0b0a5a83d564cb2,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Orque Épaulard,Le plus grand dauphin et l'un des prédateurs les plus intelligents des océans. Chasse en meute avec des stratégies élaborées.,,Très grand,Mammifère,Tous les océans du monde,6,13,105,Nage 18m,,,"Vision aveugle 36m, Perception passive 16",,,Chasse en groupes familiaux coordonnés. Intelligence remarquable avec dialectes propres à chaque pod. Apex prédateur sans rival naturel.,Carnivore,FALSE,FALSE,2300,68e22af1f0b0a5a83d564cb3,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Paresseux à Trois Doigts,"Mammifère arboricole au métabolisme extrêmement lent. Passe la majorité de sa vie suspendu aux arbres, se déplaçant avec une lenteur légendaire.",,Petit,Mammifère,Forêts tropicales d'Amérique du Sud,0,10,4,"1,50m, escalade 3m",,,Perception passive 10,,,Extrêmement lent mais excellent nageur. Descend au sol une fois par semaine. Pratiquement invisible dans les arbres grâce au camouflage.,Herbivore,TRUE,FALSE,10,68e22af1f0b0a5a83d564cb4,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Caméléon Panthère,Lézard arboricole capable de changer de couleur pour se camoufler ou communiquer. Ses yeux peuvent bouger indépendamment l'un de l'autre.,,Très petit,Reptile,Forêts tropicales de Madagascar,0,12,2,"6m, escalade 6m",,,Perception passive 13,,,Chasseur patient qui attend immobile que des insectes passent à portée. Territoire et solitaire sauf en période d'accouplement.,Insectivore,TRUE,FALSE,10,68e22af1f0b0a5a83d564cb5,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Loutre de Mer,Mammifère marin joueur qui utilise des outils pour casser des coquillages. Possède la fourrure la plus dense du règne animal pour résister au froid.,,Petit,Mammifère,"Côtes du Pacifique Nord, forêts de kelp",0.25,12,9,"6m, nage 12m",,,Perception passive 11,,,Extrêmement sociale et joueuse. Flotte sur le dos en se tenant les pattes. Utilise des outils avec dextérité remarquable.,Carnivore,FALSE,FALSE,50,68e22af1f0b0a5a83d564cb6,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Kangourou Roux,"Le plus grand marsupial vivant, capable de bonds prodigieux. Les mâles sont puissants et peuvent être dangereux s'ils se sentent menacés.",,Grand,Mammifère,Plaines et déserts d'Australie,1,12,22,15m (en bondissant),,,Perception passive 12,,,"Sociable, vit en groupes appelés 'mobs'. Les mâles se battent en boxant. Peut être très agressif si acculé.",Herbivore,FALSE,FALSE,200,68e22af1f0b0a5a83d564cb7,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Poulpe Géant du Pacifique,"Le plus grand poulpe au monde, créature intelligente capable de résoudre des problèmes complexes et de s'échapper de presque n'importe quel contenant.",,Grand,Créature aquatique,Fonds rocheux du Pacifique Nord,3,11,52,Nage 9m,,,"Vision dans le noir 18m, Perception passive 14",,,Extrêmement intelligent et curieux. Maître de l'évasion et du camouflage. Solitaire et territorial. Peut reconnaître des individus humains.,Carnivore,FALSE,FALSE,700,68e22af1f0b0a5a83d564cb8,2025-10-05T08:23:13.736000,2025-10-05T08:23:13.736000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Gorille des Montagnes,"Le plus grand primate vivant, herbivore paisible mais d'une force phénoménale. Vit en groupes familiaux dirigés par un mâle au dos argenté.",,Grand,Mammifère,Forêts de montagne d'Afrique centrale,4,12,59,"9m, escalade 9m",,,Perception passive 14,,,Généralement pacifique et herbivore. Devient extrêmement dangereux si sa famille est menacée. Très intelligent et capable d'émotions complexes.,Herbivore,FALSE,FALSE,1100,68e22a50f714beeab91ef4a6,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Raie Manta Océanique,"Élégante créature marine aux nageoires semblables à des ailes. Filtre des tonnes d'eau pour se nourrir de plancton, paisible géant des océans.",,Très grand,Poisson,Océans tropicaux et subtropicaux,2,11,45,Nage 15m,,,"Vision aveugle 9m, Perception passive 10",,,Créature paisible et curieuse. Se nourrit de plancton en filtrant l'eau. Parfois joueuse avec les plongeurs.,Carnivore,FALSE,TRUE,450,68e22a50f714beeab91ef4a7,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Varan de Komodo,"Le plus grand lézard vivant, prédateur redoutable à la morsure venimeuse et aux griffes acérées. Charognard opportuniste et chasseur patient.",,Grand,Reptile,"Îles d'Indonésie, savanes sèches",3,14,45,9m,,,"Vision dans le noir 9m, Perception passive 14",,,Prédateur patient qui suit ses proies blessées pendant des jours. Charognard opportuniste. Très territorial.,Carnivore,FALSE,FALSE,700,68e22a50f714beeab91ef4a8,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Ours Polaire,"Le plus grand carnivore terrestre, parfaitement adapté aux régions arctiques. Chasseur redoutable sur terre comme dans l'eau glacée.",,Très grand,Mammifère,"Banquise arctique, régions polaires",5,13,84,"12m, nage 9m",,,Perception passive 16,,,Chasseur solitaire très territorial. Excellent nageur. L'un des rares animaux qui chasse activement les humains.,Carnivore,FALSE,FALSE,1800,68e22a50f714beeab91ef4a9,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cobra Royal,"Le plus long serpent venimeux au monde, pouvant atteindre 5 mètres. Capable de se dresser et d'affronter des créatures bien plus grandes.",,Moyen,Reptile,Forêts tropicales et jungles d'Asie,2,14,26,"9m, escalade 9m, nage 9m",,,"Vision aveugle 3m, Perception passive 10",,,Très territorial et agressif si menacé. Peut se dresser et affronter même des éléphants. Émet un sifflement caractéristique avant d'attaquer.,Carnivore,FALSE,FALSE,450,68e22a50f714beeab91ef4aa,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Castor d'Amérique,Ingénieur naturel capable de modifier radicalement son environnement. Construit des barrages complexes qui créent des étangs artificiels.,,Petit,Mammifère,"Rivières, lacs, zones humides d'Amérique du Nord",0.25,11,13,"9m, nage 12m",,,Perception passive 11,,,"Travailleur infatigable, vit en colonies familiales. Modifie radicalement son environnement en construisant des barrages.",Herbivore,TRUE,FALSE,50,68e22a50f714beeab91ef4ab,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Ara Hyacinthe,"Le plus grand perroquet du monde, au plumage bleu cobalt éclatant. Intelligent et sociable, capable d'imiter la parole humaine.",,Petit,Oiseau,Forêts tropicales d'Amérique du Sud,0,12,3,"3m au sol, 15m en vol",,,Perception passive 13,,,"Très social, vit en couples monogames pour la vie. Extrêmement intelligent, capable de résoudre des problèmes complexes.",Herbivore,TRUE,FALSE,10,68e22a50f714beeab91ef4ac,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Méduse-Boîte,L'une des créatures les plus venimeuses au monde. Ses tentacules contiennent un poison foudroyant capable de tuer un humain en minutes.,,Très petit,Créature aquatique,"Eaux tropicales peu profondes, Indo-Pacifique",1,9,7,Nage 6m,,,"Vision dans le noir 18m, Perception passive 8",,,Dérive passivement mais peut nager activement. Extrêmement dangereuse malgré sa petite taille. Contact accidentel souvent fatal.,Carnivore,FALSE,FALSE,200,68e22a50f714beeab91ef4ad,2025-10-05T08:20:32.934000,2025-10-05T08:20:32.934000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Tigre du Bengale,"Le plus grand félin vivant, prédateur solitaire d'une puissance redoutable. Ses rayures noires et oranges lui permettent de se fondre dans la végétation.",,Grand,Mammifère,"Jungles, forêts tropicales, mangroves",4,13,68,15m,,,"Vision dans le noir 18m, Perception passive 15",,,"Chasseur solitaire et territorial. Chasse à l'affût, préférant tendre des embuscades. Excellent nageur.",Carnivore,FALSE,FALSE,1100,68e229ee8594e5e65ca99786,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Baleine à Bosse,Géant des océans connu pour ses chants complexes et ses sauts spectaculaires. Créature paisible et majestueuse malgré sa taille colossale.,,Gigantesque,Mammifère,"Océans du monde entier, migrations saisonnières",8,13,189,Nage 18m,,,"Vision aveugle 36m, Perception passive 14",,,Paisible et migratoire. Vit en groupes familiaux. Communique par chants complexes audibles à des kilomètres.,Carnivore,FALSE,FALSE,3900,68e229ee8594e5e65ca99787,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Python Réticulé,"Le plus long serpent du monde, pouvant atteindre plus de 8 mètres. Constricteur puissant qui étouffe ses proies.",,Grand,Reptile,"Forêts tropicales, jungles, près des cours d'eau",3,12,52,"9m, nage 9m, escalade 9m",,,"Vision aveugle 3m, Perception passive 10",,,Chasseur à l'affût patient. Se love sur les branches ou dans l'eau pour surprendre ses proies.,Carnivore,FALSE,FALSE,700,68e229ee8594e5e65ca99788,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Hippopotame,Herbivore massif parmi les animaux les plus dangereux d'Afrique. Extrêmement territorial et agressif malgré son apparence placide.,,Très grand,Mammifère,"Rivières, lacs, marécages d'Afrique",5,14,95,"12m, nage 12m",,,Perception passive 10,,,Extrêmement territorial et agressif. Responsable de plus de morts humaines en Afrique que tout autre grand mammifère.,Herbivore,FALSE,FALSE,1800,68e229ee8594e5e65ca9978a,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Pieuvre Géante,Céphalopode intelligent aux huit tentacules puissants. Capable de changer de couleur instantanément et de résoudre des problèmes complexes.,,Grand,Créature aquatique,"Fonds océaniques, récifs, grottes sous-marines",1,11,52,"3m, nage 18m",,,"Vision dans le noir 18m, Perception passive 14",,,"Intelligente et curieuse. Chasse à l'affût, utilise son camouflage pour surprendre ses proies.",Carnivore,FALSE,FALSE,200,68e229ee8594e5e65ca9978b,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Rhinocéros Noir,Herbivore massif à la peau épaisse comme une armure. Très territorial et charge violemment tout ce qu'il perçoit comme une menace.,,Grand,Mammifère,"Savanes, prairies arbustives africaines",3,15,68,15m,,,Perception passive 13,,,"Très territorial et facilement provoqué. Charge à la moindre menace perçue, même sans raison apparente.",Herbivore,FALSE,FALSE,700,68e229ee8594e5e65ca9978c,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Tarentule Géante,Araignée massive aux pattes velues et aux crochets venimeux impressionnants. Plus effrayante que réellement dangereuse pour les créatures de grande taille.,,Moyen,Arachnide,"Forêts tropicales, grottes, ruines",0.25,13,11,"9m, escalade 9m",,,"Vision aveugle 3m, vision dans le noir 18m, Perception passive 10",,,"Chasse à l'affût, généralement nocturne. Évite les grandes créatures sauf si acculée.",Insectivore,FALSE,FALSE,50,68e229ee8594e5e65ca9978d,2025-10-05T08:18:54.024000,2025-10-05T08:18:54.024000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Gorille des Montagnes,Grand singe d'une force prodigieuse mais généralement paisible. Les mâles à dos argenté protègent férocement leur groupe.,,Grand,Mammifère,Forêts de montagne tropicales,2,12,59,"9m, escalade 9m",,,Perception passive 14,,,Paisible et végétarien malgré sa force. Les mâles protègent agressivement leur groupe.,Herbivore,FALSE,FALSE,450,68e2297a5b4250de72d03f17,2025-10-05T08:16:58.779000,2025-10-05T08:16:58.779000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Aigle Royal,"Majestueux rapace aux plumes brun doré, symbole de puissance et de noblesse. Ses serres acérées et sa vue perçante en font un chasseur redoutable des montagnes.",,Moyen,Oiseau,"Montagnes, falaises, hautes collines",1,13,22,"3m au sol, 24m en vol",,,"Vision aveugle 3m, vision dans le noir 36m, Perception passive 19",,,"Territorial et noble, l'aigle chasse seul ou en couple. Il construit des nids massifs sur les falaises les plus hautes.",Carnivore,TRUE,FALSE,200,68e2297a5b4250de72d03f10,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.778000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Éléphant d'Afrique,"Le plus grand animal terrestre, doté d'une intelligence remarquable et d'une force colossale. Sa trompe préhensile et ses défenses en ivoire en font une créature imposante.",,Très grand,Mammifère,"Savanes, forêts tropicales",4,12,76,12m,,,Perception passive 11,,,"Sociable et familial, vit en troupeaux matriarcaux. Extrêmement protecteur envers les jeunes.",Herbivore,TRUE,TRUE,1100,68e2297a5b4250de72d03f11,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.778000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Crocodile du Nil,Reptile préhistorique massif aux mâchoires terriblement puissantes. Chasseur patient qui attend sa proie au bord de l'eau.,,Grand,Reptile,"Rivières, lacs, marécages tropicaux",5,14,76,"9m, nage 15m",,,Perception passive 10,,,Prédateur patient et opportuniste. Peut rester immobile pendant des heures. Extrêmement territorial.,Carnivore,FALSE,FALSE,1800,68e2297a5b4250de72d03f12,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.778000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Dauphin à Gros Nez,"Mammifère marin intelligent et sociable, connu pour son aide aux marins et sa curiosité naturelle.",,Moyen,Mammifère,"Océans, mers chaudes et tempérées",0.25,12,11,Nage 18m,,,"Vision aveugle 36m, Perception passive 13",,,"Extrêmement sociable, vit en groupes. Curieux envers les humains, souvent serviable.",Piscivore,TRUE,TRUE,50,68e2297a5b4250de72d03f13,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.778000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Ours Brun,"Puissant omnivore des forêts et montagnes, doté d'une force colossale et d'un tempérament imprévisible.",,Grand,Mammifère,"Forêts tempérées, montagnes, toundra",1,11,34,"12m, escalade 9m",,,Perception passive 13,,,Généralement solitaire sauf pendant la saison de reproduction. Peut être agressif si surpris. Hiberne en hiver.,Omnivore,FALSE,FALSE,200,68e2297a5b4250de72d03f14,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.778000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cobra Royal,"Le plus long serpent venimeux au monde, capable de se dresser à hauteur d'homme. Son venin neurotoxique est redouté.",,Moyen,Reptile,"Forêts tropicales, jungles d'Asie",0.25,14,13,"9m, nage 9m",,,"Vision aveugle 3m, Perception passive 10",,,Territorial et agressif quand menacé. Dresse la partie avant de son corps et déploie sa capuche en signe d'avertissement.,Carnivore,FALSE,FALSE,50,68e2297a5b4250de72d03f15,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.778000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Requin Tigre,Prédateur océanique puissant aux rayures distinctives. Réputé pour manger pratiquement n'importe quoi.,,Grand,Poisson,"Océans tropicaux et subtropicaux, eaux côtières",3,13,52,Nage 15m,,,"Vision aveugle 18m, Perception passive 12",,,"Chasseur nocturne opportuniste. Extrêmement curieux, teste ses proies potentielles avec sa mâchoire.",Carnivore,FALSE,FALSE,700,68e2297a5b4250de72d03f16,2025-10-05T08:16:58.778000,2025-10-05T08:16:58.779000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Grenouille géante,Amphibien de taille inhabituelle avec une langue collante extensible. Peut effectuer des bonds impressionnants.,,Moyen,Amphibien,"Marais, étangs, forêts humides",0.25,11,18,"9 m, nage 9 m",,,"Vision dans le noir 9 m, Perception passive 12",,,Chasseur patient qui attend que ses proies passent à portée. Bond puissant pour échapper au danger.,Carnivore,FALSE,FALSE,50,68e1561a60e37f9dc0859c68,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Dauphin,Mammifère marin intelligent et joueur. Les dauphins sont connus pour aider les naufragés et communiquer avec des sons complexes.,,Moyen,Créature aquatique,"Océans, mers chaudes",0.125,12,11,nage 18 m,,,"Vision aveugle 18 m, Perception passive 13",,,"Créature sociale, intelligente et amicale. Les dauphins voyagent en groupes et sont connus pour aider les créatures en détresse.",Piscivore,TRUE,FALSE,25,68e1561a60e37f9dc0859c71,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Serpent venimeux,Reptile élancé et discret dont la morsure délivre un venin mortel. Ses écailles chatoyantes peuvent être d'avertissement de sa dangerosité.,,Petit,Reptile,"Forêts, déserts, marais",0.125,13,2,"9 m, nage 9 m",,,"Vision aveugle 3 m, Perception passive 10",,,Évite généralement les confrontations mais mord si menacé ou surpris. Certaines espèces sont agressives durant la saison de reproduction.,Carnivore,FALSE,FALSE,25,68e1561a60e37f9dc0859c67,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Requin chasseur,Prédateur océanique redoutable avec des sens aiguisés. Peut détecter le sang dans l'eau à grande distance.,,Grand,Poisson,"Océans, mers",2,12,45,nage 18 m,,,"Vision aveugle 9 m, Perception passive 12",,,Chasseur solitaire et efficace. Devient particulièrement agressif s'il détecte du sang dans l'eau.,Carnivore,FALSE,FALSE,450,68e1561a60e37f9dc0859c6a,2025-10-04T17:15:06.043000,2025-10-04T17:15:06.043000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
