name,description_text,image_url,type,rarity,quality,market_value,weight,materials,crafting_time,crafting_skill,durability,special_properties,history,creator,uses,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Arbalète de poing,Une mini-arbalète pouvant être maniée d'une main.,,Arme,Commun,Moyenne,75,1.5 kg,Bois et acier,7 jours,Menuiserie fine (DC 15),Normal,"1d6 dégâts perforants, munitions, chargement, légère, portée 9/36 m",,,,Favorite des assassins et espions.,68e28b3145e71d2ae9f35619,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fléchettes (10),Petites armes de jet légères et faciles à dissimuler.,,Arme,Commun,Moyenne,0.5,0.25 kg,Fer et plumes,2 heures,Forge (DC 8),Fragile,"1d4 dégâts perforants, finesse, lancer (portée 6/18 m)",,,,Lot de 10 fléchettes.,68e28b3145e71d2ae9f3561a,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Javeline,Une lance courte conçue pour être lancée.,,Arme,Commun,Moyenne,0.5,1 kg,Bois et fer,4 heures,Menuiserie (DC 8),Normal,"1d6 dégâts perforants, lancer (portée 9/36 m)",,,,Arme de jet classique des guerriers.,68e28b3145e71d2ae9f3561b,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Filet,Un filet lesté pour capturer les ennemis.,,Arme,Commun,Moyenne,1,1.5 kg,Corde et poids,6 heures,Artisanat (DC 10),Normal,"Créature entravée, lancer (portée 1.5/4.5 m), usage unique",,,,Utilisé par les gladiateurs et chasseurs.,68e28b3145e71d2ae9f3561c,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sarbacane,Un tube pour projeter des fléchettes empoisonnées silencieusement.,,Arme,Commun,Moyenne,10,0.5 kg,Bois ou roseau,1 jour,Menuiserie (DC 10),Normal,"1 dégât perforant, munitions, chargement, portée 7.5/30 m",,,,"Arme d'assassin, utilisée avec des poisons.",68e28b3145e71d2ae9f3561d,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fouet,Un long fouet de cuir pour frapper à distance.,,Arme,Commun,Moyenne,2,1.5 kg,Cuir tressé,1 jour,Travail du cuir (DC 11),Normal,"1d4 dégâts tranchants, finesse, allonge",,,,Utilisé pour désarmer ou attraper.,68e28b3145e71d2ae9f3561e,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Armure matelassée,Des couches de tissu et de rembourrage.,,Armure,Commun,Moyenne,5,4 kg,Tissu rembourré,2 jours,Couture (DC 10),Normal,"CA 11 + mod. Dex, armure légère, désavantage en Discrétion",,,,La moins chère des armures.,68e28b3145e71d2ae9f3561f,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Armure de cuir clouté,Cuir renforcé de rivets et clous métalliques.,,Armure,Commun,Moyenne,45,6.5 kg,Cuir épais et rivets métalliques,5 jours,Travail du cuir (DC 13),Résistant,"CA 12 + mod. Dex, armure légère",,,,Protection solide sans gêner les mouvements.,68e28b3145e71d2ae9f35620,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Armure de peaux,Peaux d'animaux épaisses et fourrure.,,Armure,Commun,Moyenne,10,6 kg,Peaux et fourrures,3 jours,Travail du cuir (DC 10),Normal,"CA 12 + mod. Dex (max +2), armure intermédiaire",,,,Armure tribale simple.,68e28b3145e71d2ae9f35621,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chemise de mailles,Anneaux métalliques entrelacés portés sur tissu.,,Armure,Commun,Moyenne,50,10 kg,Anneaux d'acier et tissu,12 jours,Forge (DC 14),Résistant,"CA 13 + mod. Dex (max +2), armure intermédiaire",,,,Bonne protection pour les aventuriers.,68e28b3145e71d2ae9f35622,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Armure d'écailles,Manteau de cuir couvert de plaques de métal superposées.,,Armure,Commun,Moyenne,50,22.5 kg,Cuir et plaques d'acier,15 jours,Forge (DC 14),Résistant,"CA 14 + mod. Dex (max +2), armure intermédiaire, désavantage en Discrétion",,,,Protection élevée mais bruyante.,68e28b3145e71d2ae9f35623,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cuirasse,Plastron en métal sur vêtements de cuir souple.,,Armure,Commun,Moyenne,400,10 kg,Acier et cuir,25 jours,Forge (DC 16),Très résistant,"CA 14 + mod. Dex (max +2), armure intermédiaire",,,,Équilibre entre protection et mobilité.,68e28b3145e71d2ae9f35624,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Demi-plate,"Plaques d'acier sur parties vitales, avec mailles ailleurs.",,Armure,Peu commun,Bonne,750,20 kg,Plaques d'acier et mailles,45 jours,Forge maître (DC 18),Très résistant,"CA 15 + mod. Dex (max +2), armure intermédiaire, désavantage en Discrétion",,,,Protection de haute qualité.,68e28b3145e71d2ae9f35625,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cotte d'anneaux,"Anneaux métalliques cousus sur cuir, portés entre couches de tissu.",,Armure,Commun,Moyenne,30,20 kg,"Anneaux de fer, cuir et tissu",10 jours,Forge (DC 13),Normal,"CA 14, armure lourde, désavantage en Discrétion",,,,Armure lourde d'entrée de gamme.,68e28b3145e71d2ae9f35626,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Broigne,Chemise de mailles renforcée et jambières de cuir.,,Armure,Commun,Moyenne,75,27.5 kg,Mailles d'acier et cuir,18 jours,Forge (DC 15),Résistant,"CA 16, armure lourde, désavantage en Discrétion",,,,Armure standard des soldats.,68e28b3145e71d2ae9f35627,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Clibanion,Armure de bandes d'acier verticales rivetées sur cuir.,,Armure,Commun,Bonne,200,30 kg,Bandes d'acier et cuir,30 jours,Forge (DC 17),Très résistant,"CA 17, armure lourde, Force minimum 15, désavantage en Discrétion",,,,Protection excellente pour les guerriers.,68e28b3145e71d2ae9f35628,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sac à dos,Sac en toile robuste avec sangles.,,Conteneur,Commun,Moyenne,2,2.5 kg,Toile épaisse et sangles de cuir,1 jour,Couture (DC 10),Résistant,"Contenance: 15 kg, volume 30 litres",,,,Essentiel pour tout aventurier. Vendu partout.,68e28b3145e71d2ae9f35629,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bourse,Petite poche en cuir pour transporter des pièces.,,Conteneur,Commun,Moyenne,0.5,0.5 kg,Cuir souple,2 heures,Travail du cuir (DC 8),Normal,Contient 50 pièces,,,,"Objet basique, disponible partout.",68e28b3145e71d2ae9f3562a,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Coffre,Grand coffre en bois renforcé pour stockage.,,Conteneur,Commun,Moyenne,5,12.5 kg,Bois et ferrures métalliques,3 jours,Menuiserie (DC 11),Résistant,"Contenance: 150 kg, volume 340 litres",,,,Utilisé pour stocker l'équipement en ville ou sur chariot.,68e28b3145e71d2ae9f3562b,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Carquois,Étui pour flèches porté dans le dos ou à la ceinture.,,Conteneur,Commun,Moyenne,1,0.5 kg,Cuir et bois,4 heures,Travail du cuir (DC 9),Normal,Contient 20 flèches ou carreaux,,,,Indispensable pour tout archer.,68e28b3145e71d2ae9f3562c,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Flasque ou chope,"Récipient pour liquides, en métal ou céramique.",,Conteneur,Commun,Moyenne,0.02,0.5 kg,Étain ou céramique,2 heures,Poterie ou Forge (DC 8),Fragile,Contient 0.5 litre,,,,Disponible dans toutes les auberges.,68e28b3145e71d2ae9f3562d,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outre,Sac en cuir imperméabilisé pour transporter de l'eau.,,Conteneur,Commun,Moyenne,0.2,2.5 kg (pleine),Cuir traité à la cire,1 jour,Travail du cuir (DC 10),Normal,Contient 2 litres,,,,Essentiel pour les voyages. Vendu partout.,68e28b3145e71d2ae9f3562e,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Torche,Bâton enveloppé de tissu imbibé de résine inflammable.,,Outil,Commun,Moyenne,0.01,0.5 kg,"Bois, tissu et résine",15 minutes,Artisanat (DC 5),Usage unique,"Éclaire 6 m, lumière faible 6 m supplémentaires, brûle 1 heure",,,,L'outil le plus basique. Disponible partout.,68e28b3145e71d2ae9f3562f,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lanterne à capote,Lanterne métallique avec volets pour diriger la lumière.,,Outil,Commun,Moyenne,5,1 kg,Métal et verre,2 jours,Forge (DC 12),Résistant,"Éclaire 9 m en cône, lumière faible 9 m supplémentaires, brûle 6h par fiole d'huile",,,,Pratique pour diriger la lumière. Vendue chez les ferronniers.,68e28b3145e71d2ae9f35630,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lanterne sourde,Lanterne fermée avec volets pour cacher la lumière.,,Outil,Commun,Moyenne,10,1 kg,Métal et verre,3 jours,Forge (DC 13),Résistant,"Éclaire 9 m, lumière faible 9 m supplémentaires, brûle 6h par fiole d'huile, peut être masquée",,,,Favorite des roublards et explorateurs.,68e28b3145e71d2ae9f35631,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Huile (fiole),Fiole d'huile combustible pour lanterne ou comme arme.,,Alchimique,Commun,Moyenne,0.1,0.5 kg,Huile végétale ou animale,1 heure,Alchimie (DC 8),Fragile,"Carburant pour 6h de lanterne, ou arme incendiaire (2d6 dégâts de feu)",,,,Disponible chez les marchands généraux.,68e28b3145e71d2ae9f35632,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corde en chanvre (15 m),Corde solide en fibres de chanvre tressées.,,Outil,Commun,Moyenne,1,5 kg,Fibres de chanvre,1 jour,Artisanat (DC 8),Normal,"Solidité: peut supporter 1500 kg, 2 PV",,,,Essentiel pour l'escalade et multiples usages.,68e28b3145e71d2ae9f35633,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corde en soie (15 m),Corde légère et résistante en soie tressée.,,Outil,Peu commun,Excellente,10,2.5 kg,Fibres de soie,3 jours,Artisanat (DC 12),Résistant,"Solidité: peut supporter 1500 kg, 2 PV, plus légère que le chanvre",,,,"Luxueuse et rare, vendue dans les grandes villes.",68e28b3145e71d2ae9f35634,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pitons (10),Pointes métalliques pour l'escalade.,,Outil,Commun,Moyenne,0.5,1.25 kg,Fer forgé,2 heures,Forge (DC 8),Résistant,Utilisés avec marteau pour escalade,,,,Lot de 10 pitons.,68e28b3145e71d2ae9f35635,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Marteau,Marteau de menuisier ou forgeron.,,Outil,Commun,Moyenne,1,1.5 kg,Fer et bois,1 jour,Forge (DC 9),Très résistant,,,,,Outil de base polyvalent.,68e28b3145e71d2ae9f35636,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pied de biche,Barre métallique pour forcer des portes ou coffres.,,Outil,Commun,Moyenne,2,2.5 kg,Fer massif,1 jour,Forge (DC 10),Très résistant,Avantage aux tests de Force pour forcer portes et coffres,,,,Indispensable pour les explorateurs de donjons.,68e28b3145e71d2ae9f35637,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cadenas,Cadenas à clé pour sécuriser coffres et portes.,,Outil,Commun,Moyenne,10,0.5 kg,Acier et mécanisme,3 jours,Serrurerie (DC 13),Résistant,DC 15 pour le crocheter,,,,Vendu chez les serruriers et marchands.,68e28b3145e71d2ae9f35638,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chaîne (3 m),Chaîne métallique robuste.,,Outil,Commun,Moyenne,5,5 kg,Anneaux d'acier forgé,2 jours,Forge (DC 11),Très résistant,"Solidité: 10 PV, peut supporter 2000 kg",,,,"Utilisée pour attacher, entraver ou sécuriser.",68e28b3145e71d2ae9f35639,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Menottes,Bracelets métalliques verrouillables pour entraver.,,Outil,Commun,Moyenne,2,3 kg,Acier et mécanisme de verrouillage,2 jours,Serrurerie (DC 12),Très résistant,"DC 20 pour s'en échapper, DC 15 pour les crocheter",,,,Utilisées par les gardes et chasseurs de primes.,68e28b3145e71d2ae9f3563a,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sablier,Appareil de mesure du temps avec sable.,,Outil,Commun,Moyenne,25,0.5 kg,Verre et sable fin,5 jours,Soufflage de verre (DC 14),Fragile,Mesure précisément 1 heure,,,,Utilisé par les navigateurs et alchimistes.,68e28b3145e71d2ae9f3563b,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Longue-vue,Tube optique pour observer au loin.,,Outil,Rare,Excellente,1000,0.5 kg,Lentilles de verre et tube de cuivre,30 jours,Optique (DC 18),Fragile,Multiplie la vision par 2 sur les objets lointains,,,,"Objet de luxe, uniquement dans les grandes villes.",68e28b3145e71d2ae9f3563c,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Miroir en acier,Miroir poli pour voir derrière les coins ou signaler.,,Outil,Commun,Moyenne,5,0.25 kg,Acier poli,1 jour,Forge (DC 11),Résistant,,,,,Outil tactique utile pour les aventuriers.,68e28b3145e71d2ae9f3563d,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Perche (3 m),Long bâton pour tester le terrain ou atteindre des objets.,,Outil,Commun,Moyenne,0.05,3.5 kg,Bois,1 heure,Menuiserie (DC 5),Normal,,,,,Outil basique mais très utile en donjon.,68e28b3145e71d2ae9f3563e,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Grappin,Crochet à plusieurs branches pour escalade.,,Outil,Commun,Moyenne,2,2 kg,Fer forgé,1 jour,Forge (DC 11),Résistant,"Utilisé avec une corde pour escalader, lancer sur 15 m",,,,Essentiel pour l'escalade et l'exploration.,68e28b3145e71d2ae9f3563f,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Échelle (3 m),Échelle pliable en bois.,,Outil,Commun,Moyenne,0.1,12.5 kg,Bois,2 jours,Menuiserie (DC 9),Normal,,,,,Lourde mais pratique. Vendue par les menuisiers.,68e28b3145e71d2ae9f35640,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rations (1 jour),"Nourriture séchée: viande salée, fruits secs, pain dur.",,Nourriture,Commun,Moyenne,0.5,1 kg,"Viande, céréales, fruits séchés",1 jour (séchage),Survie (DC 8),Normal,Nourrit une créature pour 1 jour,,,,Indispensable pour voyager. Se garde longtemps.,68e28b3145e71d2ae9f35641,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sablier,Un sablier qui mesure exactement une heure.,,Outil,Commun,Bonne,25,0.5 kg,"Verre soufflé, sable fin, support en bois",5 jours,Soufflage de verre (DC 14),Fragile,Mesure précisément 1 heure,,,,"Disponible chez les artisans du verre, horlogers, marchands de luxe (grandes villes).",68e28889c9e6d515f342cb4c,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Savon,Un pain de savon parfumé pour se laver.,,Autre,Commun,Moyenne,0.02,0.1 kg,"Graisse animale, cendre, herbes aromatiques",1 jour (saponification),Alchimie basique (DC 8),Fragile,,,,,"Disponible chez les apothicaires, marchés, auberges.",68e28889c9e6d515f342cb4d,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Échelle en bois (3 mètres),Une échelle portable en bois robuste.,,Outil,Commun,Moyenne,0.1,12 kg,"Bois de pin, cordes",1 jour,Menuiserie (DC 8),Normal,,,,,"Disponible chez les menuisiers, quincailliers, marchés.",68e28889c9e6d515f342cb4e,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bélier portable,Un tronc d'arbre renforcé avec poignées pour enfoncer les portes.,,Outil,Peu commun,Moyenne,4,30 kg,"Tronc d'arbre dur, poignées en fer",2 jours,Menuiserie (DC 10),Très résistant,"+4 au test de Force pour enfoncer les portes, utilisable à 4 personnes",,,,"Disponible chez les forgerons militaires, arsenaux, sur commande.",68e28889c9e6d515f342cb4f,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Longue-vue,Un télescope portable pour voir au loin. Merveille d'artisanat.,,Outil,Rare,Excellente,1000,0.5 kg,"Lentilles de verre taillé, tube en laiton",60 jours,Optique maître (DC 20),Fragile,Avantage aux tests de Perception visuelle à longue distance,,,,Extrêmement rare. Uniquement sur commande auprès de maîtres opticiens dans les grandes capitales ou cités gnomes.,68e28889c9e6d515f342cb50,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Vêtements de voyage,"Des habits pratiques et résistants pour voyager : tunique, pantalon, bottes.",,Vêtement,Commun,Moyenne,2,2 kg,"Toile, cuir pour les bottes",5 jours,Couture (DC 10),Normal,,,,,"Disponible chez tous les tailleurs, marchés de vêtements.",68e28889c9e6d515f342cb51,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Robe de noble,"Une robe élégante en soie et velours, richement brodée.",,Vêtement,Peu commun,Excellente,75,2 kg,"Soie, velours, fils d'or pour la broderie",30 jours,Couture de luxe (DC 15),Fragile,,,,,Disponible uniquement chez les tailleurs de luxe dans les grandes villes. Sur commande.,68e28889c9e6d515f342cb52,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Couronne en or sertie de gemmes,"Une couronne royale en or massif ornée de rubis, saphirs et émeraudes.",,Bijou,Légendaire,Chef-d'œuvre,25000,1 kg,"Or pur (500g), gemmes précieuses",180 jours,Joaillerie maître légendaire (DC 25),Très résistant,"Symbole de pouvoir royal, peut servir d'objet de prestige",,,,Uniquement créée par des maîtres joailliers pour la royauté. Introuvable dans le commerce. Chaque couronne est unique.,68e28889c9e6d515f342cb53,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Anneau en argent simple,Un simple anneau en argent sans ornement.,,Bijou,Commun,Moyenne,5,0.01 kg,Argent,1 jour,Joaillerie (DC 10),Résistant,,,,,"Disponible chez les bijoutiers, orfèvres.",68e28889c9e6d515f342cb54,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Collier en perles,Un élégant collier fait de perles d'eau douce.,,Bijou,Peu commun,Bonne,250,0.1 kg,"Perles, fil de soie",10 jours (collecte des perles + assemblage),Joaillerie (DC 12),Fragile,,,,,"Disponible chez les bijoutiers de luxe, marchands de gemmes.",68e28889c9e6d515f342cb55,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bourse en cuir,Une petite bourse à fermeture pour transporter des pièces.,,Conteneur,Commun,Moyenne,0.5,0.5 kg,"Cuir souple, cordon",4 heures,Travail du cuir (DC 8),Normal,"Contient jusqu'à 500 pièces (2,5 kg)",,,,"Disponible partout : tanneurs, marchés, marchands.",68e28889c9e6d515f342cb56,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Grappin avec corde,Un crochet en fer à quatre branches avec 15 mètres de corde.,,Outil,Commun,Moyenne,2,2 kg,"Fer forgé, corde de chanvre",1 jour,Forge (DC 10),Résistant,"Permet l'escalade, peut être lancé (portée 6 m)",,,,"Disponible chez les forgerons, marchands d'équipement d'aventurier.",68e28889c9e6d515f342cb57,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pitons en fer (10 pièces),Des pointes en fer pour grimper ou sécuriser une position.,,Outil,Commun,Moyenne,0.5,1 kg,Fer forgé,3 heures,Forge (DC 8),Très résistant,,,,,"Disponible chez les forgerons, quincailliers.",68e28889c9e6d515f342cb58,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Marteau,Un marteau de charpentier basique.,,Outil,Commun,Moyenne,1,1.5 kg,"Tête en fer, manche en bois",1 jour,Forge (DC 8),Résistant,,,,,"Disponible chez les forgerons, quincailliers, menuisiers.",68e28889c9e6d515f342cb59,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pelle,Une pelle robuste pour creuser.,,Outil,Commun,Moyenne,2,2 kg,"Fer pour la lame, bois pour le manche",1 jour,Forge (DC 8),Résistant,,,,,"Disponible chez les forgerons, marchands d'outils agricoles.",68e28889c9e6d515f342cb5a,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pied-de-biche,Une barre de fer courbée pour forcer les portes et coffres.,,Outil,Commun,Moyenne,2,2 kg,Fer forgé,1 jour,Forge (DC 8),Très résistant,Avantage aux tests de Force pour forcer des objets,,,,"Disponible chez les forgerons, quincailliers.",68e28889c9e6d515f342cb5b,2025-10-05T15:02:33.081000,2025-10-05T15:02:33.081000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée longue,Une épée polyvalente à une main avec une lame de 90 cm. L'arme de prédilection de nombreux guerriers et aventuriers.,,Arme,Commun,Moyenne,15,1.5 kg,"Acier, cuir pour la poignée",2 jours,Forge (DC 12),Résistant,,,,,Disponible chez les forgerons et marchands d'armes. Prix peut varier selon la qualité de l'acier et le travail du forgeron.,68e28889c9e6d515f342cb2b,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dague en acier,"Une lame courte et effilée, facile à dissimuler. Parfaite pour les roublards et comme arme secondaire.",,Arme,Commun,Moyenne,2,0.5 kg,"Acier, manche en bois ou os",4 heures,Forge (DC 10),Résistant,,,,,"Disponible partout : forgerons, marchands généraux, auberges. Objet de base.",68e28889c9e6d515f342cb2c,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arc long,Un grand arc puissant nécessitant force et entraînement pour être manié efficacement.,,Arme,Commun,Moyenne,50,1 kg,"Bois d'if ou frêne, corde de chanvre ou de tendon",5 jours,Artisanat d'arc (DC 14),Normal,,,,,"Disponible chez les artisans d'arcs, marchands d'armes spécialisés, ou chez les elfes.",68e28889c9e6d515f342cb2d,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Armure de cuir,Une armure légère en cuir tanné et rigidifié. Offre une protection basique sans gêner les mouvements.,,Armure,Commun,Moyenne,10,5 kg,"Cuir de bœuf tanné, boucles métalliques",3 jours,Travail du cuir (DC 12),Normal,CA 11 + modificateur de Dextérité,,,,"Disponible chez les tanneurs, marchands d'armures, dans toutes les villes.",68e28889c9e6d515f342cb2e,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cotte de mailles,Une armure composée d'anneaux métalliques entrelacés. Lourde mais offrant une excellente protection.,,Armure,Commun,Moyenne,75,25 kg,"Anneaux d'acier, tissu pour la doublure",15 jours,Forge (DC 15),Très résistant,"CA 16, désavantage en Discrétion",,,,Disponible uniquement chez les forgerons spécialisés et marchands d'armures dans les grandes villes.,68e28889c9e6d515f342cb2f,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Harnois (Armure de plaques),L'armure ultime : des plaques d'acier articulées couvrant tout le corps. Réservée aux nobles et champions.,,Armure,Peu commun,Bonne,1500,30 kg,"Plaques d'acier de qualité, cuir pour les jointures",60 jours,Forge maître (DC 20),Très résistant,"CA 18, nécessite Force 15, désavantage en Discrétion",,,,Uniquement sur commande auprès de maîtres forgerons. Très rare dans le commerce. Prix peut atteindre 2000+ po pour une qualité exceptionnelle.,68e28889c9e6d515f342cb30,2025-10-05T15:02:33.080000,2025-10-05T15:02:33.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
